Epoch 231 :(mp, mr, map50, map ,*Loss )     0.7342      0.5886      0.6342      0.3979           0           0           0 
Epoch 232 :(mp, mr, map50, map ,*Loss )     0.7183       0.597      0.6323      0.3976           0           0           0 
Epoch 233 :(mp, mr, map50, map ,*Loss )     0.7139      0.6046      0.6325      0.3977           0           0           0 
Epoch 234 :(mp, mr, map50, map ,*Loss )     0.6976      0.6038      0.6327      0.3983           0           0           0 
Epoch 235 :(mp, mr, map50, map ,*Loss )     0.7035      0.6243      0.6358      0.4002           0           0           0 
Epoch 236 :(mp, mr, map50, map ,*Loss )     0.7231      0.6078      0.6336      0.3992           0           0           0 
Epoch 237 :(mp, mr, map50, map ,*Loss )     0.6948      0.6095      0.6298      0.3943           0           0           0 
Epoch 238 :(mp, mr, map50, map ,*Loss )     0.7273      0.5955      0.6296      0.3918           0           0           0 
Epoch 239 :(mp, mr, map50, map ,*Loss )     0.7229       0.592      0.6265      0.3909           0           0           0 
Epoch 240 :(mp, mr, map50, map ,*Loss )     0.7194      0.5836      0.6283      0.3909           0           0           0 
Epoch 241 :(mp, mr, map50, map ,*Loss )     0.6834      0.6175      0.6291      0.3894           0           0           0 
Epoch 242 :(mp, mr, map50, map ,*Loss )     0.7017      0.6014      0.6297      0.3905           0           0           0 
Epoch 243 :(mp, mr, map50, map ,*Loss )     0.6871       0.612      0.6227      0.3898           0           0           0 
Epoch 244 :(mp, mr, map50, map ,*Loss )      0.716      0.5937       0.626        0.39           0           0           0 
Epoch 245 :(mp, mr, map50, map ,*Loss )      0.689      0.6088      0.6263      0.3905           0           0           0 
Epoch 246 :(mp, mr, map50, map ,*Loss )     0.7363      0.5754      0.6354      0.3976           0           0           0 
Epoch 247 :(mp, mr, map50, map ,*Loss )     0.6882      0.6103      0.6283      0.3922           0           0           0 
Epoch 248 :(mp, mr, map50, map ,*Loss )     0.7304      0.5839      0.6287      0.3972           0           0           0 
Epoch 249 :(mp, mr, map50, map ,*Loss )     0.7342      0.5772      0.6308       0.397           0           0           0 
Epoch 250 :(mp, mr, map50, map ,*Loss )     0.7245       0.584      0.6279      0.3948           0           0           0 
Epoch 251 :(mp, mr, map50, map ,*Loss )     0.6924      0.6216      0.6319      0.3964           0           0           0 
Epoch 252 :(mp, mr, map50, map ,*Loss )     0.7008      0.6118      0.6291       0.396           0           0           0 
Epoch 253 :(mp, mr, map50, map ,*Loss )     0.7129      0.6011      0.6266      0.3949           0           0           0 
Epoch 254 :(mp, mr, map50, map ,*Loss )     0.7216      0.5934      0.6243      0.3928           0           0           0 
Epoch 255 :(mp, mr, map50, map ,*Loss )       0.69      0.6175       0.625      0.3896           0           0           0 
Epoch 256 :(mp, mr, map50, map ,*Loss )     0.6801       0.622      0.6229      0.3882           0           0           0 
Epoch 257 :(mp, mr, map50, map ,*Loss )     0.7317       0.581      0.6276      0.3909           0           0           0 
Epoch 258 :(mp, mr, map50, map ,*Loss )     0.6763       0.621      0.6283      0.3913           0           0           0 
Epoch 259 :(mp, mr, map50, map ,*Loss )      0.676      0.6147      0.6245      0.3917           0           0           0 
Epoch 260 :(mp, mr, map50, map ,*Loss )     0.7349      0.5753      0.6278      0.3942           0           0           0 
